task_index,unit_id,world_id,aligned_model_id,replicate_index,stroop_template_source_dataset,flanker_template_source_dataset,stroop_template_id,flanker_template_id,stroop_template_task_id,flanker_template_task_id,template_records_json,master_seed,structural_seed,background_seed,missingness_seed,trial_count_seed,split_seed,model_seed,generator_sha,empirical_background_contract_sha,static_model_contract_sha,pilot_config_hash
0,ETW0_replicate_000,ETW0,M0_probabilistic_general_performance,0,23,55,23,55,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9710629921259842, ""accuracy_sd"": 0.0300000243279924, ""mean_n_trials_valid"": 54.21259842519685, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8273146295336185, ""mean_response_speed_sd"": 0.2134800474050102, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 551.9212598425197, ""median_rt_ms_sd"": 67.29295358036069, ""n_participants"": 127, ""n_repeat_participants"": 0, ""n_rows"": 254, ""n_sessions"": 127, ""n_windows"": 254, ""p10_n_trials_valid"": 50.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 58.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1769117070650396, ""rt_cv_sd"": 0.0396829642194131, ""sd_n_trials_valid"": 3.3495440578401907, ""source_dataset"": 23, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.7839581609362305, ""throughput_proxy_sd"": 0.2102872490608856}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9671590909090908, ""accuracy_sd"": 0.0324114110013412, ""mean_n_trials_valid"": 66.24297520661158, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.935173835601709, ""mean_response_speed_sd"": 0.2135834926846739, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 515.8066115702479, ""median_rt_ms_sd"": 73.28317992231248, ""n_participants"": 121, ""n_repeat_participants"": 0, ""n_rows"": 605, ""n_sessions"": 121, ""n_windows"": 605, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 104.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1402004640866976, ""rt_cv_sd"": 0.0416035571201677, ""sd_n_trials_valid"": 20.184221209535856, ""source_dataset"": 55, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.901055072409571, ""throughput_proxy_sd"": 0.2057530218933822}]",20260810,286238550,3641535655,3228460312,3313296241,3638588435,2078474791,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
0,ETW1_replicate_000,ETW1,M1_continuous_control_manifold,0,23,55,23,55,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9710629921259842, ""accuracy_sd"": 0.0300000243279924, ""mean_n_trials_valid"": 54.21259842519685, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8273146295336185, ""mean_response_speed_sd"": 0.2134800474050102, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 551.9212598425197, ""median_rt_ms_sd"": 67.29295358036069, ""n_participants"": 127, ""n_repeat_participants"": 0, ""n_rows"": 254, ""n_sessions"": 127, ""n_windows"": 254, ""p10_n_trials_valid"": 50.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 58.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1769117070650396, ""rt_cv_sd"": 0.0396829642194131, ""sd_n_trials_valid"": 3.3495440578401907, ""source_dataset"": 23, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.7839581609362305, ""throughput_proxy_sd"": 0.2102872490608856}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9671590909090908, ""accuracy_sd"": 0.0324114110013412, ""mean_n_trials_valid"": 66.24297520661158, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.935173835601709, ""mean_response_speed_sd"": 0.2135834926846739, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 515.8066115702479, ""median_rt_ms_sd"": 73.28317992231248, ""n_participants"": 121, ""n_repeat_participants"": 0, ""n_rows"": 605, ""n_sessions"": 121, ""n_windows"": 605, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 104.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1402004640866976, ""rt_cv_sd"": 0.0416035571201677, ""sd_n_trials_valid"": 20.184221209535856, ""source_dataset"": 55, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.901055072409571, ""throughput_proxy_sd"": 0.2057530218933822}]",20260810,3091569648,3060079024,4237133465,1247670622,3556338139,2689233333,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
0,ETW2_replicate_000,ETW2,M2_EM_v1,0,23,55,23,55,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9710629921259842, ""accuracy_sd"": 0.0300000243279924, ""mean_n_trials_valid"": 54.21259842519685, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8273146295336185, ""mean_response_speed_sd"": 0.2134800474050102, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 551.9212598425197, ""median_rt_ms_sd"": 67.29295358036069, ""n_participants"": 127, ""n_repeat_participants"": 0, ""n_rows"": 254, ""n_sessions"": 127, ""n_windows"": 254, ""p10_n_trials_valid"": 50.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 58.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1769117070650396, ""rt_cv_sd"": 0.0396829642194131, ""sd_n_trials_valid"": 3.3495440578401907, ""source_dataset"": 23, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.7839581609362305, ""throughput_proxy_sd"": 0.2102872490608856}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9671590909090908, ""accuracy_sd"": 0.0324114110013412, ""mean_n_trials_valid"": 66.24297520661158, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.935173835601709, ""mean_response_speed_sd"": 0.2135834926846739, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 515.8066115702479, ""median_rt_ms_sd"": 73.28317992231248, ""n_participants"": 121, ""n_repeat_participants"": 0, ""n_rows"": 605, ""n_sessions"": 121, ""n_windows"": 605, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 104.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1402004640866976, ""rt_cv_sd"": 0.0416035571201677, ""sd_n_trials_valid"": 20.184221209535856, ""source_dataset"": 55, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.901055072409571, ""throughput_proxy_sd"": 0.2057530218933822}]",20260810,2163943236,693880080,1531903537,1434548802,2931751157,11351658,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
0,ETW3_replicate_000,ETW3,M3_three_profile_mixture,0,23,55,23,55,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9710629921259842, ""accuracy_sd"": 0.0300000243279924, ""mean_n_trials_valid"": 54.21259842519685, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8273146295336185, ""mean_response_speed_sd"": 0.2134800474050102, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 551.9212598425197, ""median_rt_ms_sd"": 67.29295358036069, ""n_participants"": 127, ""n_repeat_participants"": 0, ""n_rows"": 254, ""n_sessions"": 127, ""n_windows"": 254, ""p10_n_trials_valid"": 50.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 58.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1769117070650396, ""rt_cv_sd"": 0.0396829642194131, ""sd_n_trials_valid"": 3.3495440578401907, ""source_dataset"": 23, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.7839581609362305, ""throughput_proxy_sd"": 0.2102872490608856}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9671590909090908, ""accuracy_sd"": 0.0324114110013412, ""mean_n_trials_valid"": 66.24297520661158, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.935173835601709, ""mean_response_speed_sd"": 0.2135834926846739, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 515.8066115702479, ""median_rt_ms_sd"": 73.28317992231248, ""n_participants"": 121, ""n_repeat_participants"": 0, ""n_rows"": 605, ""n_sessions"": 121, ""n_windows"": 605, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 104.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1402004640866976, ""rt_cv_sd"": 0.0416035571201677, ""sd_n_trials_valid"": 20.184221209535856, ""source_dataset"": 55, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.901055072409571, ""throughput_proxy_sd"": 0.2057530218933822}]",20260810,3900497196,4243558748,2789475675,1094634892,1978189017,4014998704,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
0,ETW4_replicate_000,ETW4,M4_four_pace_profile_mixture,0,23,55,23,55,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9710629921259842, ""accuracy_sd"": 0.0300000243279924, ""mean_n_trials_valid"": 54.21259842519685, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8273146295336185, ""mean_response_speed_sd"": 0.2134800474050102, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 551.9212598425197, ""median_rt_ms_sd"": 67.29295358036069, ""n_participants"": 127, ""n_repeat_participants"": 0, ""n_rows"": 254, ""n_sessions"": 127, ""n_windows"": 254, ""p10_n_trials_valid"": 50.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 58.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1769117070650396, ""rt_cv_sd"": 0.0396829642194131, ""sd_n_trials_valid"": 3.3495440578401907, ""source_dataset"": 23, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.7839581609362305, ""throughput_proxy_sd"": 0.2102872490608856}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9671590909090908, ""accuracy_sd"": 0.0324114110013412, ""mean_n_trials_valid"": 66.24297520661158, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.935173835601709, ""mean_response_speed_sd"": 0.2135834926846739, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 515.8066115702479, ""median_rt_ms_sd"": 73.28317992231248, ""n_participants"": 121, ""n_repeat_participants"": 0, ""n_rows"": 605, ""n_sessions"": 121, ""n_windows"": 605, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 104.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1402004640866976, ""rt_cv_sd"": 0.0416035571201677, ""sd_n_trials_valid"": 20.184221209535856, ""source_dataset"": 55, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.901055072409571, ""throughput_proxy_sd"": 0.2057530218933822}]",20260810,2707260991,3594132697,1534779869,1312599391,351226165,1543676939,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
1,ETW0_replicate_001,ETW0,M0_probabilistic_general_performance,1,26,45,26,45,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.970252613240418, ""accuracy_sd"": 0.0359421833157747, ""mean_n_trials_valid"": 53.33536585365854, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.6973039996113557, ""mean_response_speed_sd"": 0.2741341650546821, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 600.9420731707318, ""median_rt_ms_sd"": 111.78744893976636, ""n_participants"": 82, ""n_repeat_participants"": 0, ""n_rows"": 164, ""n_sessions"": 82, ""n_windows"": 164, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 57.70000000000002, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1664670754336969, ""rt_cv_sd"": 0.044466661733142, ""sd_n_trials_valid"": 3.441496034772448, ""source_dataset"": 26, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.6610731398624932, ""throughput_proxy_sd"": 0.2685211617384002}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9474561771073398, ""accuracy_sd"": 0.0626086121394414, ""mean_n_trials_valid"": 57.68992248062016, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8891010621682356, ""mean_response_speed_sd"": 0.2594847925598456, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 531.9879961240309, ""median_rt_ms_sd"": 74.30291243745206, ""n_participants"": 129, ""n_repeat_participants"": 0, ""n_rows"": 1032, ""n_sessions"": 129, ""n_windows"": 1032, ""p10_n_trials_valid"": 48.10000000000001, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 68.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1515362609548955, ""rt_cv_sd"": 0.0411425778355479, ""sd_n_trials_valid"": 8.138875539491385, ""source_dataset"": 45, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.8094990271907023, ""throughput_proxy_sd"": 0.2393340595172322}]",20260810,1880773259,661562920,4164067523,2746813840,4057242686,920905398,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
1,ETW1_replicate_001,ETW1,M1_continuous_control_manifold,1,26,45,26,45,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.970252613240418, ""accuracy_sd"": 0.0359421833157747, ""mean_n_trials_valid"": 53.33536585365854, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.6973039996113557, ""mean_response_speed_sd"": 0.2741341650546821, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 600.9420731707318, ""median_rt_ms_sd"": 111.78744893976636, ""n_participants"": 82, ""n_repeat_participants"": 0, ""n_rows"": 164, ""n_sessions"": 82, ""n_windows"": 164, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 57.70000000000002, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1664670754336969, ""rt_cv_sd"": 0.044466661733142, ""sd_n_trials_valid"": 3.441496034772448, ""source_dataset"": 26, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.6610731398624932, ""throughput_proxy_sd"": 0.2685211617384002}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9474561771073398, ""accuracy_sd"": 0.0626086121394414, ""mean_n_trials_valid"": 57.68992248062016, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8891010621682356, ""mean_response_speed_sd"": 0.2594847925598456, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 531.9879961240309, ""median_rt_ms_sd"": 74.30291243745206, ""n_participants"": 129, ""n_repeat_participants"": 0, ""n_rows"": 1032, ""n_sessions"": 129, ""n_windows"": 1032, ""p10_n_trials_valid"": 48.10000000000001, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 68.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1515362609548955, ""rt_cv_sd"": 0.0411425778355479, ""sd_n_trials_valid"": 8.138875539491385, ""source_dataset"": 45, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.8094990271907023, ""throughput_proxy_sd"": 0.2393340595172322}]",20260810,890995084,1374343116,699324004,2026489147,3671913314,3641299873,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
1,ETW2_replicate_001,ETW2,M2_EM_v1,1,26,45,26,45,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.970252613240418, ""accuracy_sd"": 0.0359421833157747, ""mean_n_trials_valid"": 53.33536585365854, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.6973039996113557, ""mean_response_speed_sd"": 0.2741341650546821, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 600.9420731707318, ""median_rt_ms_sd"": 111.78744893976636, ""n_participants"": 82, ""n_repeat_participants"": 0, ""n_rows"": 164, ""n_sessions"": 82, ""n_windows"": 164, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 57.70000000000002, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1664670754336969, ""rt_cv_sd"": 0.044466661733142, ""sd_n_trials_valid"": 3.441496034772448, ""source_dataset"": 26, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.6610731398624932, ""throughput_proxy_sd"": 0.2685211617384002}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9474561771073398, ""accuracy_sd"": 0.0626086121394414, ""mean_n_trials_valid"": 57.68992248062016, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8891010621682356, ""mean_response_speed_sd"": 0.2594847925598456, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 531.9879961240309, ""median_rt_ms_sd"": 74.30291243745206, ""n_participants"": 129, ""n_repeat_participants"": 0, ""n_rows"": 1032, ""n_sessions"": 129, ""n_windows"": 1032, ""p10_n_trials_valid"": 48.10000000000001, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 68.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1515362609548955, ""rt_cv_sd"": 0.0411425778355479, ""sd_n_trials_valid"": 8.138875539491385, ""source_dataset"": 45, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.8094990271907023, ""throughput_proxy_sd"": 0.2393340595172322}]",20260810,2871727509,1844877293,1621633208,602721471,4127492886,4227245225,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
1,ETW3_replicate_001,ETW3,M3_three_profile_mixture,1,26,45,26,45,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.970252613240418, ""accuracy_sd"": 0.0359421833157747, ""mean_n_trials_valid"": 53.33536585365854, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.6973039996113557, ""mean_response_speed_sd"": 0.2741341650546821, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 600.9420731707318, ""median_rt_ms_sd"": 111.78744893976636, ""n_participants"": 82, ""n_repeat_participants"": 0, ""n_rows"": 164, ""n_sessions"": 82, ""n_windows"": 164, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 57.70000000000002, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1664670754336969, ""rt_cv_sd"": 0.044466661733142, ""sd_n_trials_valid"": 3.441496034772448, ""source_dataset"": 26, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.6610731398624932, ""throughput_proxy_sd"": 0.2685211617384002}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9474561771073398, ""accuracy_sd"": 0.0626086121394414, ""mean_n_trials_valid"": 57.68992248062016, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8891010621682356, ""mean_response_speed_sd"": 0.2594847925598456, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 531.9879961240309, ""median_rt_ms_sd"": 74.30291243745206, ""n_participants"": 129, ""n_repeat_participants"": 0, ""n_rows"": 1032, ""n_sessions"": 129, ""n_windows"": 1032, ""p10_n_trials_valid"": 48.10000000000001, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 68.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1515362609548955, ""rt_cv_sd"": 0.0411425778355479, ""sd_n_trials_valid"": 8.138875539491385, ""source_dataset"": 45, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.8094990271907023, ""throughput_proxy_sd"": 0.2393340595172322}]",20260810,1778155441,1422800694,1740000715,462690347,3575422492,3139186113,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
1,ETW4_replicate_001,ETW4,M4_four_pace_profile_mixture,1,26,45,26,45,Stroop,Flanker,"[{""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.970252613240418, ""accuracy_sd"": 0.0359421833157747, ""mean_n_trials_valid"": 53.33536585365854, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.6973039996113557, ""mean_response_speed_sd"": 0.2741341650546821, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 600.9420731707318, ""median_rt_ms_sd"": 111.78744893976636, ""n_participants"": 82, ""n_repeat_participants"": 0, ""n_rows"": 164, ""n_sessions"": 82, ""n_windows"": 164, ""p10_n_trials_valid"": 49.0, ""p50_n_trials_valid"": 54.0, ""p90_n_trials_valid"": 57.70000000000002, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1664670754336969, ""rt_cv_sd"": 0.044466661733142, ""sd_n_trials_valid"": 3.441496034772448, ""source_dataset"": 26, ""task_id"": ""Stroop"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.6610731398624932, ""throughput_proxy_sd"": 0.2685211617384002}, {""accuracy_coverage"": 1.0, ""accuracy_mean"": 0.9474561771073398, ""accuracy_sd"": 0.0626086121394414, ""mean_n_trials_valid"": 57.68992248062016, ""mean_response_speed_coverage"": 1.0, ""mean_response_speed_mean"": 1.8891010621682356, ""mean_response_speed_sd"": 0.2594847925598456, ""median_rt_ms_coverage"": 1.0, ""median_rt_ms_mean"": 531.9879961240309, ""median_rt_ms_sd"": 74.30291243745206, ""n_participants"": 129, ""n_repeat_participants"": 0, ""n_rows"": 1032, ""n_sessions"": 129, ""n_windows"": 1032, ""p10_n_trials_valid"": 48.10000000000001, ""p50_n_trials_valid"": 57.0, ""p90_n_trials_valid"": 68.0, ""rt_cv_coverage"": 1.0, ""rt_cv_mean"": 0.1515362609548955, ""rt_cv_sd"": 0.0411425778355479, ""sd_n_trials_valid"": 8.138875539491385, ""source_dataset"": 45, ""task_id"": ""Flanker"", ""throughput_proxy_coverage"": 1.0, ""throughput_proxy_mean"": 1.8094990271907023, ""throughput_proxy_sd"": 0.2393340595172322}]",20260810,31076653,413880780,3460460161,191136061,1437267894,4274384381,9699427176961a3064e9db8da23a3b287a441b1b,1e9c11e030dc0706c8941dfc08489bb6f63cac5d,81d22f2a942afd1652c169935f058b1634922d30,sha256:89a79a76aa63b86f96e9f0c4d11517adce044a9ea430dc558ea9c2da29faa4b5
