task_index,unit_id,gate_index,gate_id,truth_family_index,truth_family_id,truth_family_label,replicate_index,generated_variables,primary_variables,participants,sessions_per_participant,blocks_per_session,participant_holdout_fraction,master_seed,structural_seed,nuisance_seed,observation_seed,split_seed,model_seed,transfer_external_use,real_wrapper_transfer_outcomes_inspected,truth_columns_stripped_before_scoring_required,variable_registry_commit
0,K_only_vs_APC_MECH0_replicate_000,0,K_only_vs_APC,0,MECH0,general_capacity_only,0,K|Y_behavior,K|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,3406480802,166838152,204929332,1562878510,4279589922,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
1,K_only_vs_APC_MECH0_replicate_001,0,K_only_vs_APC,0,MECH0,general_capacity_only,1,K|Y_behavior,K|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,1920720604,2404928888,1851442646,2424812877,2487234139,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
2,K_only_vs_APC_MECH1_replicate_000,0,K_only_vs_APC,1,MECH1,static_continuous_apc,0,K|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,K|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,2510228581,2825190306,230669661,3602270186,2982848414,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
3,K_only_vs_APC_MECH1_replicate_001,0,K_only_vs_APC,1,MECH1,static_continuous_apc,1,K|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,K|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,1868992099,2244693305,3539652025,2233865229,1411410835,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
4,APC_vs_vigilance_gated_APC_MECH1_replicate_000,1,APC_vs_vigilance_gated_APC,0,MECH1,static_continuous_apc,0,K|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,V|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,3859280583,869473284,1148655748,3774869419,402386141,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
5,APC_vs_vigilance_gated_APC_MECH1_replicate_001,1,APC_vs_vigilance_gated_APC,0,MECH1,static_continuous_apc,1,K|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,V|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,4133320123,772063156,176028577,1182304736,586917353,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
6,APC_vs_vigilance_gated_APC_MECH2_replicate_000,1,APC_vs_vigilance_gated_APC,1,MECH2,vigilance_gated_apc,0,K|V|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,V|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,3011281642,2822187554,2340734048,2217250156,1714898421,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
7,APC_vs_vigilance_gated_APC_MECH2_replicate_001,1,APC_vs_vigilance_gated_APC,1,MECH2,vigilance_gated_apc,1,K|V|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,V|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,428119074,1945637877,176452819,798466597,1990993800,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
8,profile_vs_continuous_region_MECH3_replicate_000,2,profile_vs_continuous_region,0,MECH3,profile_causes_control,0,P_pace|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,P_pace|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,2545050620,618202367,3390438664,839553633,1003317934,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
9,profile_vs_continuous_region_MECH3_replicate_001,2,profile_vs_continuous_region,0,MECH3,profile_causes_control,1,P_pace|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,P_pace|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,381957468,3783911429,2537982575,3684105294,2349423163,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
10,profile_vs_continuous_region_MECH4_replicate_000,2,profile_vs_continuous_region,1,MECH4,continuous_apc_causes_apparent_pace,0,C_signal|A_evidence|T_commit|PC_calibration|P_pace|Y_behavior,P_pace|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,3716768018,3619691982,1949288007,3680389929,1253349590,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
11,profile_vs_continuous_region_MECH4_replicate_001,2,profile_vs_continuous_region,1,MECH4,continuous_apc_causes_apparent_pace,1,C_signal|A_evidence|T_commit|PC_calibration|P_pace|Y_behavior,P_pace|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,2816042532,346545538,3455684427,2174810967,3253275529,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
12,static_vs_dynamic_MECH1_replicate_000,3,static_vs_dynamic,0,MECH1,static_continuous_apc,0,K|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,R_dynamic|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,167248954,840255658,2966058775,1703545583,2103276838,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
13,static_vs_dynamic_MECH1_replicate_001,3,static_vs_dynamic,0,MECH1,static_continuous_apc,1,K|C_signal|A_evidence|T_commit|PC_calibration|Y_behavior,R_dynamic|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,3462323387,1297869356,27282749,4168110701,3749102855,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
14,static_vs_dynamic_MECH5_replicate_000,3,static_vs_dynamic,1,MECH5,dynamic_regime_plus_apc,0,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,2042091370,1076412138,1552331196,3780192261,374119887,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
15,static_vs_dynamic_MECH5_replicate_001,3,static_vs_dynamic,1,MECH5,dynamic_regime_plus_apc,1,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|C_signal|A_evidence|T_commit|PC_calibration,48,2,16,0.25,20260819,320845557,1345288301,3838774012,2652874220,4090853118,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
16,generic_vs_adaptive_corridor_MECH5_replicate_000,4,generic_vs_adaptive_corridor,0,MECH5,dynamic_regime_plus_apc,0,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|C_signal|A_evidence|PC_calibration,48,2,16,0.25,20260819,1749066348,1681303814,477189310,794898392,2566275090,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
17,generic_vs_adaptive_corridor_MECH5_replicate_001,4,generic_vs_adaptive_corridor,0,MECH5,dynamic_regime_plus_apc,1,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|C_signal|A_evidence|PC_calibration,48,2,16,0.25,20260819,327070,439785374,2267221742,1403089920,877991396,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
18,generic_vs_adaptive_corridor_MECH6_replicate_000,4,generic_vs_adaptive_corridor,1,MECH6,adaptive_corridor_dynamics,0,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|C_signal|A_evidence|PC_calibration,48,2,16,0.25,20260819,818439750,344457628,1298416214,3161154957,2821185486,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
19,generic_vs_adaptive_corridor_MECH6_replicate_001,4,generic_vs_adaptive_corridor,1,MECH6,adaptive_corridor_dynamics,1,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|C_signal|A_evidence|PC_calibration,48,2,16,0.25,20260819,3377623346,2117925206,2728080532,632658978,426476011,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
20,adaptive_vs_failure_modes_MECH6_replicate_000,5,adaptive_vs_failure_modes,0,MECH6,adaptive_corridor_dynamics,0,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|A_evidence|PC_calibration,48,2,16,0.25,20260819,160323279,3007508247,2231065918,2570592694,535249439,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
21,adaptive_vs_failure_modes_MECH6_replicate_001,5,adaptive_vs_failure_modes,0,MECH6,adaptive_corridor_dynamics,1,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|A_evidence|PC_calibration,48,2,16,0.25,20260819,3233550756,1127670703,3291326513,2551809883,3634678491,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
22,adaptive_vs_failure_modes_MECH7_replicate_000,5,adaptive_vs_failure_modes,1,MECH7,lock_excess_update_failure_modes,0,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|A_evidence|PC_calibration,48,2,16,0.25,20260819,1814573737,645263608,835335931,2698888012,4047988258,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
23,adaptive_vs_failure_modes_MECH7_replicate_001,5,adaptive_vs_failure_modes,1,MECH7,lock_excess_update_failure_modes,1,K|V|C_signal|A_evidence|T_commit|PC_calibration|R_dynamic|Y_behavior,R_dynamic|V|A_evidence|PC_calibration,48,2,16,0.25,20260819,2250044036,922678737,3250659300,2613663893,2542124662,synthetic_heldout_diagnostic_only,False,True,4073c76357954a386b30d2cad792e4c6bb4eb393
